village_type,request_type,urgency_level,population_range,service_category
rural,medical_help,high,small,Healthcare
rural,school_facility,medium,medium,Education
semi_rural,crop_issue,high,large,Agriculture
tribal,water_supply,high,small,Infrastructure
rural,road_repair,medium,medium,Infrastructure
semi_rural,hospital_access,high,large,Healthcare
rural,teacher_requirement,low,small,Education
tribal,farming_tools,medium,small,Agriculture
semi_rural,electricity_issue,high,medium,Infrastructure
rural,medicine_shortage,high,small,Healthcare
tribal,school_books,low,small,Education
rural,irrigation_problem,high,large,Agriculture
semi_rural,bridge_damage,high,medium,Infrastructure
rural,health_checkup,medium,medium,Healthcare
tribal,farmer_training,low,small,Agriculture
semi_rural,college_transport,medium,large,Education
rural,drinking_water,high,medium,Infrastructure
tribal,medical_camp,high,small,Healthcare
semi_rural,seed_distribution,medium,large,Agriculture
rural,classroom_building,medium,medium,Education
